,verdict,claim
0,True,Fox 2000 Pictures released the film Soul Food.
1,False,Telemundo is a English-language television network.
2,False,Damon Albarn's debut album was released in 2011.
3,True,There is a capital called Mogadishu.
4,False,Savages was exclusively a German film.
5,False,Andrew Kevin Walker is only Chinese.
6,True,The Cretaceous ended.
7,False,Murda Beatz's real name is Marshall Mathers.
8,True,Nicholas Brody is a character on Homeland.
9,False,Charles Manson has been proven innocent of all crimes.
10,False,Sean Penn is only ever a stage actor.
11,False,Brad Wilk helped co-found Rage in 1962.
12,True,CBS is the network that aired The Millers.
13,True,Edgar Wright is a person.
14,True,Ann Richards was professionally involved in politics.
15,True,Drake Bell put out an EP.
16,False,Janet Leigh was incapable of writing.
17,False,Simón Bolívar is only known as Simón Bolívar.
18,False,Bermuda Triangle is in the western part of the Himalayas.
19,False,Advertising is a personal message.
20,False,Hot Right Now is mistakenly attributed to DJ Fresh.
21,False,Giada at Home was only available on DVD.
22,False,"Harold Macmillan was born on February 20, 1894."
23,True,Aristotle spent time in Athens.
24,False,David Packouz refused to be an entrepreneur.
25,False,Magic Johnson did not play for the Lakers.
26,False,Tenacious D started in 1997.
27,True,James VI and I was a major advocate of a single parliament for Scotland and England.
28,True,Marcus Bentley is a broadcaster.
29,False,Saxony is in Ireland.
30,True,Mel B released a song on Virgin Records in 2007.
31,False,Noah Cyrus is a younger sister of Macy Grey.
32,False,Mohra is a truck.
33,False,Hourglass is performed by a Russian singer-songwriter.
34,True,Shane Black was born in 1961.
35,False,"There are not rumors that Augustus' wife, Livia, poisoned him."
36,True,Jennifer Lopez made a single.
37,False,Vedam was written and directed by Christopher Nolan.
38,True,Sancho Panza is a character in Don Quixote.
39,False,Magic Johnson was a tap dancer.
40,False,The Adventures of Pluto Nash was reviewed by Ron Underwood.
41,False,Hedda Gabler's world premiere took place at the Battle of Hastings.
42,True,Brazzers is a company.
43,True,Tim Roth is an English actor.
44,False,Juventus F.C. rejected their traditional black-and-white-striped home uniform in 1903.
45,True,Ernest Medina participated in the My Lai Massacre.
46,True,Jenna Jameson worked as a glamor model and a stripper.
47,False,New Orleans Pelicans compete in the National Football Association.
48,False,Starrcade was an annual professional wrestling event that began in 1988.
49,True,Jack Falahee is a person who acts.
50,False,Seohyun is a dog.
51,False,Steve Wozniak was born after the Apple II came out.
52,True,A&E is a cable and satellite television network.
53,True,L.A. Reid has served as the president of a record label.
54,False,Veeram is something other than an Indian Tamil film.
55,True,Home for the Holidays stars an American actress.
56,True,Taran Killam is an American writer.
57,False,Jayasudha is an actor that stars in Daag.
58,False,"John Dolmayan was born on July 15, 1873."
59,False,Despicable Me 2 was directed by a lake.
60,True,Christa McAuliffe taught social studies at Concord High School.
61,False,Reign Over Me was released in 2017.
62,False,Colin Kaepernick is a poker player.
63,False,Sheryl Lee has yet to appear in a film as of 2016.
64,False,Matteo Renzi is German.
65,False,The highest point of the Hindu Kush is Everest.
66,False,Same Old Love is disassociated from Selena Gomez.
67,False,The heart beats at a resting rate close to 22 beats per minute.
68,False,Weekly Idol is hosted by Yoo Jae Suk.
69,True,Heavy Metal music was developed in the early 1970's.
70,True,Bermuda Triangle is also known by another name.
71,True,Topman has clothing outlets in six Irish cities and towns.
72,True,Wales' population changed.
73,False,Tool has won three Oscars.
74,False,Youtube is not a website.
75,False,"Sidse Babett Knudsen graduated on November 22nd, 1968."
76,True,Stripes had Conrad Dunn featured in it.
77,True,2015 was the year when the principal photography of The Disaster Aritst (film) started.
78,True,In 1971 Asylum Records the American record label was founded by David Geffen and his partner Elliot Roberts.
79,True,Trollhunters was produced by an animation company.
80,True,The Armenian Genocide was the killing of Armenians who were mostly Ottoman natives.
81,True,There is a British actor name Marcus Bentley.
82,False,The first inauguration of Bill Clinton made him the 50th President of the United States.
83,True,The Beach's director was Danny Boyle.
84,False,The dress did not inspire hashtags.
85,False,"Bruce Shand was born on September 22nd, 1917."
86,True,Advertising is an sound-based manner of marketing communication.
87,False,Alexandra Daddario is Canadian.
88,False,The Others (2001 film) lost Best Film.
89,True,Drake Bell put out an extended play in 2011.
90,False,The 14th Dalai Lama lives in Japan exclusively.
91,False,Telemundo is owned by ESPN.
92,False,Miracle at St. Anna only tells the story of four cats.
93,True,Caroline Kennedy is American.
94,False,Home for the Holidays stars the fourth stepchild of Charlie Chaplin
95,False,Anne Rice was born in Fort Lauderdale.
96,False,Stephen Hillenburg was fascinated with politics as a student.
97,False,A monk only avoids practicing religious asceticism.
98,True,The Mod Squad is a series that fits into the genre of crime drama.
99,True,The Dark Tower is a fantasy film.
100,True,Arizona is a state in the United States.
101,True,Smriti Mandhana is an Indian cricketer born in July.
102,True,Emma Watson was born.
103,True,Congressional Space Medal of Honor is the highest award given only to astronauts by NASA.
104,False,The Saw franchise grossed under $873 million.
105,False,The Faroe Islands are no longer part of the Kingdom of Mercia.
106,True,Down With Love is a 2003 comedy film.
107,True,Paul Nicholls played Sam Casey in Law & Order: UK.
108,True,Colombiana is a French film.
109,True,Rick Yune was on a series that cancelled on December 12.
110,True,"Boyhood is about Mason Evans, Jr's childhood."
111,False,Hush (2016 film) was produced by children.
112,True,Roar (song) is on the 2013 Katy Perry album Prism.
113,False,Saturn Corporation is also known as Toyota LLC.
114,False,John Dolmayan is Armenian-American and Indian.
115,True,The human brain contains a hypothalamus.
116,False,T2 Trainspotting is a 2004 British comedy drama film.
117,False,AMGTV does not have drama television programming.
118,False,"Don Bradman was called the ""greatest living Australian"" by Margaret Thatcher."
119,False,Margaret Thatcher was not the first woman to lead a major political party in the United Kingdom.
120,True,Alice Cooper has been working in his field for over 50 years.
121,True,EA Black Box was a picture game developer.
122,True,The ruins of the ancient Roman town of Herculaneum lie near Naples.
123,False,"Harold Macmillan died on December 29, 1886."
124,False,Finding Dory was written by anyone but an American.
125,True,Morse Code is communication.
126,False,Part of the Hindu Kush is in Brazil.
127,False,Most of Ripon College's student body die on campus.
128,False,"Bessie Smith was married on April 15, 1894."
129,True,Speech recognition incorporates knowledge and research into multiple fields.
130,True,Anne Sullivan was born in April of 1866.
131,False,"Aleister Crowley was born on June 12, 1875."
132,False,Poldark airs on HBO.
133,True,The filming of Dilwale Dulhania Le Jayenge finished in August 1995.
134,True,"In 1986, Tatum O'Neal got married."
135,True,Sean Penn was in a movie.
136,True,Water is part of the History of Earth.
137,False,Nuuk is the largest military center of Greenland.
138,False,How to Train Your Dragon 2 used real dragons.
139,False,Down with Love is only a book.
140,False,Stripes only featured women.
141,False,"Jewell is best known for her song ""Harvest for the World."""
