,o_body,verdict
0,A video shows a monkey that was severely injured at a L'Oreal cosmetics testing facility.,false
1,Police discovered human remains in a Satanic dungeon under a Chuck E. Cheese.,false
2,Escape artist Harry Houdini died from a ruptured appendix caused by his being punched in the stomach.,legend
3,New York Jets quarterback Michael Vick was attacked by a stray pitbull.,false
4,Photograph depicts the removal of Bill Cosby's Hollywood 'Walk of Fame' Star.,false
5,Those who go swimming less than one hour after eating will be taken by a cramp and drown.,false
6,President George W. Bush was nominated to receive the Nobel Peace Prize.,mixture.
7,A photograph shows 'the darkest baby in the world.,false
8,"The city of Yreka, California, was named for a backwards bakery sign.",false
9,Maraschino cherries are produced using a toxic dye that has been banned for human consumption.,false
10,Photograph shows sunrise through the World Trade Center towers.,true.
11,E-mail lists new California traffic laws taking effect in 2008.,true.
12,Various Internet-circulated items about the 2008 U.S. presidential election were written by Thomas Sowell.,mixture of correct and incorrect attributions
13,A B-17 damaged on a bombing raid over Germany reached England safely after a German pilot declined to shoot it down.,true.
14,Photograph shows a library facade lined with giant-sized representations of books.,true
15,An image depicts Muslim men buying or stealing propane tanks at a Miami Home Depot.,false
16,"A woman who appeared in New York after Hillary Clinton left a 9/11 memorial service for medical reasons was body double Teresa Barnwell, not Clinton herself.",false
17,Ted Cruz is ineligible to serve as President of the United States because he was born in Canada.,false
18,Russia placed Black Lives Matter on an official 'terror list' in July 2016.,false
19,"Patients can circumvent insurance company claim denials by requesting a specific form of documentation, as the insurance company will opt to simply cover the cost rather than provide the paperwork.",mixture
20,President Trump 'vetoed' Argentina's decision to honor Jimmy Carter in April 2017.,unproven
21,Photograph shows workmen who have accidentally trapped their van within a barrier of bollards.,false
22,The Tim Allen show 'Last Man Standing' was cancelled due to the star's political beliefs.,unproven
23,"Three brothers in Limpopo, South Africa were arrested for raping a crocodile.",false
24,Letter from former Marine criticizes Sen. Dianne Feinstein's gun control proposal.,correctly attributed
25,"Photograph shows Mohammed Fazl, a Taliban prisoner exchanged for U.S. soldier Bowe Bergdahl, posing with severed heads.",false
