page,claim,verdict,tags,date,author,source_list,source_url,value,name
https://www.snopes.com/fact-check/denaturalization-task-force/,"a new u.s. citizenship and immigration services task force is charged with identifying naturalized citizens who cheated on their applications and seeking the revocation of their citizenship, a process known as ""denaturalization.""",true,"['donald trump', 'immigration', 'USCIS']",2018/07/12,David Emery,"['https://www.justice.gov/opa/pr/justice-department-secures-first-denaturalization-result-operation-janus', 'https://apnews.com/1da389a535684a5f9d0da74081c242f3', 'https://www.npr.org/2018/07/04/625980910/white-house-launches-effort-to-take-citizenship-from-those-who-lied-to-get-it', 'https://www.justice.gov/opa/pr/united-states-files-denaturalization-complaints-florida-connecticut-and-new-jersey-against', 'https://www.justice.gov/usao-mdfl/pr/winter-haven-resident-convicted-obtaining-us-citizenship-fraud']",https://www.npr.org/2018/07/04/625980910/white-house-launches-effort-to-take-citizenship-from-those-who-lied-to-get-it,2,Mohamed
https://www.snopes.com/fact-check/denaturalization-task-force/,"a new u.s. citizenship and immigration services task force is charged with identifying naturalized citizens who cheated on their applications and seeking the revocation of their citizenship, a process known as ""denaturalization.""",true,"['donald trump', 'immigration', 'USCIS']",2018/07/12,David Emery,"['https://www.justice.gov/opa/pr/justice-department-secures-first-denaturalization-result-operation-janus', 'https://apnews.com/1da389a535684a5f9d0da74081c242f3', 'https://www.npr.org/2018/07/04/625980910/white-house-launches-effort-to-take-citizenship-from-those-who-lied-to-get-it', 'https://www.justice.gov/opa/pr/united-states-files-denaturalization-complaints-florida-connecticut-and-new-jersey-against', 'https://www.justice.gov/usao-mdfl/pr/winter-haven-resident-convicted-obtaining-us-citizenship-fraud']",https://apnews.com/1da389a535684a5f9d0da74081c242f3,1,Mohamed
https://www.snopes.com/fact-check/illegal-immigrant-benefits/,"undocumented immigrants in the united states receive a job, a driver's license, food stamps, health care, housing, education, a ""tax-free business for seven years,"" and ""child benefits.""",mostly false,"['daca', 'immigration', 'undocumented immigrants']",2018/01/16,Dan MacGuill,"['https://www.facebook.com/john.atteberry.39/posts/1716569525059940', 'https://www.migrationpolicy.org/data/unauthorized-immigrant-population/state/US', 'https://www.law.cornell.edu/uscode/text/8/1324a', 'https://www.kff.org/disparities-policy/fact-sheet/health-coverage-of-immigrants/', 'https://www.nilc.org/issues/economic-support/overview-immeligfedprograms/', 'https://www.facebook.com/standupforaustraliamelbourne/posts/896679370470605', 'https://itep.org/immigration/', 'https://www.americanimmigrationcouncil.org/research/plyler-v-doe-public-education-immigrant-students']",https://www.facebook.com/john.atteberry.39/posts/1716569525059940,1,Mohamed
https://www.snopes.com/fact-check/kamala-harris-jussie-smollett/,senator kamala harris is the aunt of actor jussie smollett.,false,"['Jussie Smollett', 'Kamala Harris']",2019/02/25,Dan Evon,"['https://www.newsweek.com/kevin-mccullough-kamala-harris-jussie-smollett-aunt-empire-conspiracy-theory-1342020', 'https://en.wikipedia.org/wiki/Tony_West_(attorney)', 'http://archive.fo/yN9UJ', 'https://www.washingtonpost.com/politics/i-am-who-i-am-kamala-harris-daughter-of-indian-and-jamaican-immigrants-defines-herself-simply-as-american/2019/02/02/0b278536-24b7-11e9-ad53-824486280311_story.html', 'https://www2.census.gov/topics/genealogy/2010surnames/Names_2010Census_Top1000.xlsx', 'https://www.oprahmag.com/entertainment/a25905360/kamala-harris-husband-douglas-emhoff/', 'http://archive.fo/rJs5S']",http://archive.fo/yN9UJ,1,Mohamed
https://www.snopes.com/fact-check/water-filtration-oysters/,one oyster can filter more than 50 gallons of water in 24 hours.,true,['oysters'],2018/07/30,Alex Kasprak,"['https://chesapeakebay.noaa.gov/fish-facts/oysters', 'https://twistedsifter.com/2014/10/two-tanks-filled-with-same-water-one-has-oysters/', 'https://www.npr.org/sections/thesalt/2016/07/31/488122810/the-oysters-mighty-comeback-is-creating-cleaner-u-s-waterways', 'http://www.ucmp.berkeley.edu/taxa/inverts/mollusca/bivalvia.php', 'http://seafood.maryland.gov/']",https://twistedsifter.com/2014/10/two-tanks-filled-with-same-water-one-has-oysters/,1,Mohamed
https://www.snopes.com/fact-check/man-arrested-finger-circle-officer/,"a man was arrested for showing an officer an ""a-ok"" hand sign during a traffic stop in an attempt to get the officer to play the ""finger circle"" game.",false,"['circle game', 'fake news', 'finger circle', 'huzlers']",2018/01/03,Dan Evon,"['https://www.urbandictionary.com/define.php?term=The%20Circle%20Game', 'https://archive.is/i3FXm#selection-3547.0-3547.86', 'https://www.huzlers.com/man-arrested-after-showing-officer-finger-circle-when-asked-for-his-license-registration/', 'http://clarksvillewtf.com/2011/12/clarksville-mugshots-man-up-edition/']",https://www.huzlers.com/man-arrested-after-showing-officer-finger-circle-when-asked-for-his-license-registration/,1,Mohamed
https://www.snopes.com/fact-check/plastic-rice-from-china/,"consumers should be aware of plastic rice from china that is difficult to discern from ""real rice.""",false,[''],2016/10/26,Kim LaCapria,"['http://web.archive.org/web/20110210110944/http://www.weeklyhk.com/news.php?code=&mode=view&num=10793', 'http://www.washingtonpost.com/wp-dyn/content/article/2007/07/19/AR2007071901138.html', 'https://www.facebook.com/eatLocalGrown/posts/1174611285965268?match=cGxhc3RpYyByaWNlLHBsYXN0aWMscmljZQ%3D%3D', 'http://archive.is/nvr0o', 'https://en.wikipedia.org/wiki/Artificial_rice', 'http://archive.is/nAoRP', 'https://www.thecable.ng/no-plastic-rice-in-nigeria-say-adewole-nafdac']",http://archive.is/nvr0o,1,Mohamed
https://www.snopes.com/fact-check/did-pope-francis-cancel-the-bible/,pope francis cancelled the bible and proposed the creation of a new holy book.,false,"['bible', 'catholic church', 'catholicism', 'pope francis', 'there is news']",2018/04/09,Dan Evon,"['https://www.cnn.com/2015/01/19/living/pope-said-what/index.html', 'https://www.usatoday.com/story/news/world/2014/01/20/pope-goes-kosher/4668815/', 'https://archive.li/SQOdA', 'https://archive.li/ZqD5w', 'https://www.gettyimages.com/photos/pope-francis-yad-vashem?groupbyevent=true&family=editorial&phrase=pope%20francis%20yad%20vashem&sort=mostpopular#license']",https://archive.li/SQOdA,1,Mohamed
https://www.snopes.com/fact-check/man-arrested-finger-circle-officer/,"a man was arrested for showing an officer an ""a-ok"" hand sign during a traffic stop in an attempt to get the officer to play the ""finger circle"" game.",false,"['circle game', 'fake news', 'finger circle', 'huzlers']",2018/01/03,Dan Evon,"['https://www.urbandictionary.com/define.php?term=The%20Circle%20Game', 'https://archive.is/i3FXm#selection-3547.0-3547.86', 'https://www.huzlers.com/man-arrested-after-showing-officer-finger-circle-when-asked-for-his-license-registration/', 'http://clarksvillewtf.com/2011/12/clarksville-mugshots-man-up-edition/']",https://archive.is/i3FXm#selection-3547.0-3547.86,1,Mohamed
https://www.snopes.com/fact-check/google-doodle-ramadan-easter/,"there is an official google doodle commemorating ramadan, but not one for the holiday of easter.",mostly false,[''],2019/04/22,Dan Evon,"['https://www.google.com/doodles/about', 'https://www.google.com/doodles/diwali-2008', 'https://www.google.com/doodles/rosh-hashanah-2006', 'http://archive.fo/4rqlD', 'https://www.google.com/doodles/malaysia-national-day-2018', 'http://archive.fo/SFp9E', 'https://artsandculture.google.com/project/easter-traditions', 'http://archive.fo/RCK8X', 'https://www.al-kanz.org/2010/06/21/ramadan-doodle-google/', 'http://archive.fo/EN5Wh', 'https://www.google.com/doodles/mudik-2016', 'https://www.google.com/doodles/happy-easter-2000', 'http://archive.fo/rpGAl']",http://archive.fo/SFp9E,1,Mohamed
